timestep,num-issues,num-choices,num-labels,strenght-of-influence,multi-issue-discourse,ignorring,prob-droping-label,SW-index,cosine-similarity
0,1,2,6,20,20,0,0.01,0.9984965527870684,0.9986643680321882
0,1,2,6,20,20,1,0.01,0.9986596451495372,0.9986372363469124
0,1,2,10,20,20,0,0.01,0.996569113236971,0.9965815175006708
0,1,2,10,20,20,1,0.01,0.9969564144700164,0.9964737909743582
0,1,5,2,20,20,0,0.01,0.998893957854829,0.9990775585160409
0,1,5,2,20,20,1,0.01,0.9989712040646892,0.9985956108555996
0,1,5,6,20,20,0,0.01,0.997297312875756,0.9939553100617684
0,1,5,6,20,20,1,0.01,0.9968391399814148,0.9930817194101978
0,1,5,10,20,20,0,0.01,0.9948565715335173,0.986592084003114
0,1,5,10,20,20,1,0.01,0.99505372357526,0.9869864104969353
0,1,10,2,20,20,0,0.01,0.99829170075456,0.9970720681057916
0,1,10,2,20,20,1,0.01,0.9985138181984348,0.9977104252851968
0,1,10,6,20,20,0,0.01,0.9951525964734604,0.9846310056757808
0,1,10,6,20,20,1,0.01,0.9955658001551696,0.98560337658278
0,1,10,10,20,20,0,0.01,0.992122061429439,0.972326094594144
0,1,10,10,20,20,1,0.01,0.9915369694903649,0.9702049260889885
0,5,2,2,20,20,0,0.01,0.9993465955751116,0.9997691437324168
0,5,2,2,20,20,1,0.01,0.9994643120361936,0.9996772325057632
0,5,2,6,20,20,0,0.01,0.9982945445407496,0.9984525769125648
0,5,2,6,20,20,1,0.01,0.9980853905312328,0.9980678203135436
0,5,2,10,20,20,0,0.01,0.9968565627633096,0.9964405794007062
0,5,2,10,20,20,1,0.01,0.9969361579859748,0.9965236507137144
0,5,5,2,20,20,0,0.01,0.99897974037459,0.9990260700342488
0,5,5,2,20,20,1,0.01,0.9989654570079354,0.9988555572344016
0,5,5,6,20,20,0,0.01,0.9969628454400508,0.9929601986552224
0,5,5,6,20,20,1,0.01,0.9970385433871763,0.9932508571792044
0,5,5,10,20,20,0,0.01,0.9947951587467432,0.986600936796758
0,5,5,10,20,20,1,0.01,0.994858587634519,0.986862719371261
0,5,10,2,20,20,0,0.01,0.9984972288549124,0.9977113757459666
0,5,10,2,20,20,1,0.01,0.9982947145776176,0.9974990378910962
0,5,10,6,20,20,0,0.01,0.995394092145542,0.985223570429516
0,5,10,6,20,20,1,0.01,0.9952177279324184,0.9848055081741428
0,5,10,10,20,20,0,0.01,0.9921391230889464,0.9715025401311144
0,5,10,10,20,20,1,0.01,0.9919336022749106,0.9712256148449516
0,10,2,2,20,20,0,0.01,0.9994610810079458,0.9997645496545228
0,10,2,2,20,20,1,0.01,0.9992873996095492,0.999657925901007
0,10,2,6,20,20,0,0.01,0.9980841680044464,0.9981657786500212
0,10,2,6,20,20,1,0.01,0.998247280708344,0.9982801331178428
