timestep,num-issues,num-choices,num-labels,strenght-of-influence,multi-issue-discourse,ignorring,prob-droping-label,SW-index,cosine-similarity
0,1,2,2,20,20,0,0.001,0.998480151,0.999554
200,1,2,2,20,20,0,0.001,0.0727114215,0.908399
400,1,2,2,20,20,0,0.001,0.124522916,0.918157
600,1,2,2,20,20,0,0.001,0.1633401895,0.9281486666666666
800,1,2,2,20,20,0,0.001,0.1888031425,0.9362903333333332
1000,1,2,2,20,20,0,0.001,0.2079530735,0.943546
1200,1,2,2,20,20,0,0.001,0.2265258765,0.9517676666666668
1400,1,2,2,20,20,0,0.001,0.242157065,0.959702
1600,1,2,2,20,20,0,0.001,0.2507911905,0.9646606666666668
1800,1,2,2,20,20,0,0.001,0.2606655115,0.970662
2000,1,2,2,20,20,0,0.001,0.2684769409999999,0.975676
2200,1,2,2,20,20,0,0.001,0.2750180835,0.9803303333333334
2400,1,2,2,20,20,0,0.001,0.27960543,0.9838063333333334
2600,1,2,2,20,20,0,0.001,0.28253203,0.9863496666666668
2800,1,2,2,20,20,0,0.001,0.284221265,0.9879693333333334
3000,1,2,2,20,20,0,0.001,0.28620453,0.989832
3200,1,2,2,20,20,0,0.001,0.2885738224999999,0.992118
3400,1,2,2,20,20,0,0.001,0.2899786159999999,0.9937103333333333
3600,1,2,2,20,20,0,0.001,0.2915393025,0.9953676666666668
3800,1,2,2,20,20,0,0.001,0.291721507,0.9958016666666668
4000,1,2,2,20,20,0,0.001,0.2914380575,0.9962453333333332
4200,1,2,2,20,20,0,0.001,0.2921147555,0.9974106666666666
4400,1,2,2,20,20,0,0.001,0.2916226055,0.99795
4600,1,2,2,20,20,0,0.001,0.2912928154999999,0.9987053333333332
4800,1,2,2,20,20,0,0.001,0.2901677115,0.9989803333333332
5000,1,2,2,20,20,0,0.001,0.287835674,0.9989286666666668
5200,1,2,2,20,20,0,0.001,0.2853718395,0.9989393333333332
5400,1,2,2,20,20,0,0.001,0.2819185174999999,0.9990706666666668
5600,1,2,2,20,20,0,0.001,0.2783531824999999,0.9987823333333332
5800,1,2,2,20,20,0,0.001,0.2731083075,0.998784
6000,1,2,2,20,20,0,0.001,0.2673734445,0.999252
6200,1,2,2,20,20,0,0.001,0.25956939,0.9994783333333336
6400,1,2,2,20,20,0,0.001,0.2500553715,0.9996473333333334
6600,1,2,2,20,20,0,0.001,0.2363265225,0.9996756666666666
6800,1,2,2,20,20,0,0.001,0.216069997,0.9998513333333332
7000,1,2,2,20,20,0,0.001,0.1900817595,0.9999266666666669
7200,1,2,2,20,20,0,0.001,0.171192339,0.999909
7400,1,2,2,20,20,0,0.001,0.1628114964999999,0.9999096666666668
7600,1,2,2,20,20,0,0.001,0.1534303604999999,0.9999343333333334
7800,1,2,2,20,20,0,0.001,0.1411914369999999,0.999943
8000,1,2,2,20,20,0,0.001,0.125623866,0.9999563333333332
8200,1,2,2,20,20,0,0.001,0.1098819714999999,0.9999263333333334
8400,1,2,2,20,20,0,0.001,0.093819923,0.9999283333333332
8600,1,2,2,20,20,0,0.001,0.0816754815,0.999938
8800,1,2,2,20,20,0,0.001,0.07684113,0.99996
9000,1,2,2,20,20,0,0.001,0.0729465275,0.999968
9200,1,2,2,20,20,0,0.001,0.0659758195,0.9999336666666666
9400,1,2,2,20,20,0,0.001,0.0574912355,0.9999636666666668
9600,1,2,2,20,20,0,0.001,0.0436349569999999,0.99999
9800,1,2,2,20,20,0,0.001,0.0245385789999999,0.999998
10000,1,2,2,20,20,0,0.001,0.009578675,0.9999986666666668
0,1,2,2,20,20,1,0.001,0.9988788025,0.9993713333333334
200,1,2,2,20,20,1,0.001,0.14248456,0.8162596666666666
400,1,2,2,20,20,1,0.001,0.2400956244999999,0.834428
600,1,2,2,20,20,1,0.001,0.318894852,0.8542396666666667
800,1,2,2,20,20,1,0.001,0.384862842,0.8755136666666667
1000,1,2,2,20,20,1,0.001,0.4281243675,0.892421
1200,1,2,2,20,20,1,0.001,0.4602676305,0.9072743333333332
1400,1,2,2,20,20,1,0.001,0.489934129,0.9224466666666666
1600,1,2,2,20,20,1,0.001,0.5084052665,0.933202
1800,1,2,2,20,20,1,0.001,0.524515811,0.9436086666666668
2000,1,2,2,20,20,1,0.001,0.5341906985,0.9509256666666668
2200,1,2,2,20,20,1,0.001,0.547896968,0.9607573333333332
2400,1,2,2,20,20,1,0.001,0.5552009885,0.966999
2600,1,2,2,20,20,1,0.001,0.5614484035,0.9728293333333332
2800,1,2,2,20,20,1,0.001,0.565789951,0.9769986666666666
3000,1,2,2,20,20,1,0.001,0.5705817485,0.982016
3200,1,2,2,20,20,1,0.001,0.570809433,0.9838743333333332
3400,1,2,2,20,20,1,0.001,0.5724568065,0.986862
3600,1,2,2,20,20,1,0.001,0.5737343134999999,0.9897623333333334
3800,1,2,2,20,20,1,0.001,0.5733690245,0.9920193333333334
4000,1,2,2,20,20,1,0.001,0.5702337345,0.9932006666666666
